,recipient,commitment_amount_usd_constant
0,Australia,272816027.0
1,Austria,132570772.0
2,Brazil,6741772561.0
3,Canada,238909975.0
4,Chile,3153522025.0
5,Colombia,4133934986.0
6,Cyprus,456341646.0
7,Czech Republic,775958969.0
8,Denmark,62021691.0
9,Estonia,55351922.0
10,Finland,180621823.0
11,Greece,377959238.0
12,Hungary,1475020093.0
13,India,35573067903.0
14,Ireland,52303341.0
15,Italy,976951443.0
16,Japan,1092391559.0
17,Korea,4880376311.0
18,Kuwait,7448029742.0
19,Latvia,160033679.0
20,Lithuania,82421368.0
21,Luxembourg,415719806.0
22,Norway,129753989.0
23,Poland,16546610115.0
24,Portugal,26228078.0
25,Qatar,21651555.0
26,Romania,275486855.0
27,Saudi Arabia,618362671.0
28,Slovak Republic,9121048.0
29,Slovenia,13234430.0
30,South Africa,1539262179.0
31,Taiwan,477475059.0
32,Thailand,15195173090.0
33,United Arab Emirates,269124862.0
