,country,year,donated,received,net_committed
0,India,1973,0,2285256534,-2285256534
1,India,1974,0,3697747278,-3697747278
2,India,1975,0,3000656166,-3000656166
3,India,1976,0,2233586413,-2233586413
4,India,1977,0,3197135157,-3197135157
5,India,1978,0,2927325215,-2927325215
6,India,1979,0,1622748901,-1622748901
7,India,1980,0,2968245303,-2968245303
8,India,1981,0,3706661088,-3706661088
9,India,1982,0,2822105457,-2822105457
10,India,1983,0,2653699004,-2653699004
11,India,1984,0,4584531386,-4584531386
12,India,1985,0,1837835819,-1837835819
13,India,1986,0,3003947484,-3003947484
14,India,1987,0,4191375895,-4191375895
15,India,1988,0,3844238228,-3844238228
16,India,1989,0,3091093501,-3091093501
17,India,1990,0,2036236423,-2036236423
18,India,1991,0,3660869551,-3660869551
19,India,1992,0,5341953099,-5341953099
20,India,1993,0,1327287513,-1327287513
21,India,1994,0,4096778597,-4096778597
22,India,1995,0,2704173002,-2704173002
23,India,1996,0,4151165519,-4151165519
24,India,1997,0,4794906726,-4794906726
25,India,1998,0,2478951563,-2478951563
26,India,1999,0,1932216592,-1932216592
27,India,2000,0,1141656334,-1141656334
28,India,2001,0,2198367696,-2198367696
29,India,2002,0,2324315788,-2324315788
30,India,2003,0,2616814261,-2616814261
31,India,2004,0,2884182630,-2884182630
32,India,2005,0,3340560624,-3340560624
33,India,2006,0,4144135136,-4144135136
34,India,2007,0,5386224705,-5386224705
35,India,2008,0,5044559917,-5044559917
36,India,2009,0,3706828324,-3706828324
37,India,2010,0,3826639675,-3826639675
38,India,2011,0,3652445742,-3652445742
39,India,2012,0,4970365576,-4970365576
40,India,2013,0,4550646147,-4550646147
41,Thailand,1973,0,206363405,-206363405
42,Thailand,1974,0,867668418,-867668418
43,Thailand,1975,0,333639956,-333639956
44,Thailand,1976,0,110042103,-110042103
45,Thailand,1977,0,715883953,-715883953
46,Thailand,1978,0,859278853,-859278853
47,Thailand,1979,0,1283439829,-1283439829
48,Thailand,1980,0,902852253,-902852253
49,Thailand,1981,0,1178204797,-1178204797
50,Thailand,1982,0,1595007194,-1595007194
51,Thailand,1983,0,1165432587,-1165432587
52,Thailand,1984,0,1135099078,-1135099078
53,Thailand,1985,0,1151123605,-1151123605
54,Thailand,1986,0,762121484,-762121484
55,Thailand,1987,0,1016033769,-1016033769
56,Thailand,1988,0,1297612686,-1297612686
57,Thailand,1989,0,626032718,-626032718
58,Thailand,1990,0,1790643316,-1790643316
59,Thailand,1991,0,1898189675,-1898189675
60,Thailand,1992,0,1014335727,-1014335727
61,Thailand,1993,0,3338548445,-3338548445
62,Thailand,1994,0,1416098158,-1416098158
63,Thailand,1995,0,792655526,-792655526
64,Thailand,1996,0,1671334558,-1671334558
65,Thailand,1997,0,6371021429,-6371021429
66,Thailand,1998,0,2437534353,-2437534353
67,Thailand,1999,0,3761639876,-3761639876
