,recipient,commitment_amount_usd_constant
0,Australia,1574314830.0
1,Austria,553751588.0
2,Brazil,18127315850.0
3,Canada,671357470.0
4,Chile,2137150128.0
5,Colombia,8380224406.0
6,Cyprus,200766844.0
7,Czech Republic,1494830126.0
8,Estonia,215196406.0
9,Hungary,1718942647.0
10,India,29766633591.0
11,Ireland,793462113.0
12,Italy,802540744.0
13,Japan,276896345.0
14,Korea,10352183811.0
15,Kuwait,321008937.0
16,Latvia,300488051.0
17,Liechtenstein,10053.0
18,Lithuania,475089134.0
19,Luxembourg,555039832.0
20,Norway,67085688.0
21,Poland,7834191904.0
22,Qatar,720237777.0
23,Romania,2640438371.0
24,Saudi Arabia,3465884442.0
25,Slovak Republic,787420080.0
26,Slovenia,202110635.0
27,South Africa,7615784807.0
28,Switzerland,229280.0
29,Taiwan,1599882987.0
30,Thailand,23609151672.0
31,United Arab Emirates,21040908.0
32,United States,4920.0
